                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6839,                 1.3263,                 1.2871,                0.67378,                0.58579,                0.59333,                0.27308,                 1.7563,                 2.3365,                 1.2173,              0.0006659,              0.0006659,              0.0006659
                      2,                 1.6902,                  1.192,                 1.3155,                0.79395,                0.64206,                0.71028,                 0.3423,                  1.852,                  1.313,                 1.2362,              0.0012006,              0.0012006,              0.0012006
                      3,                 1.6224,                 1.0919,                 1.2793,                0.89171,                0.79094,                0.85953,                0.43988,                 1.6318,                0.96825,                 1.1174,              0.0016034,              0.0016034,              0.0016034
                      4,                   1.56,                0.96288,                 1.2442,                0.87767,                  0.818,                0.89569,                0.48231,                 1.5537,                0.91583,                 1.0957,               0.001406,               0.001406,               0.001406
                      5,                 1.5133,                0.90911,                 1.2116,                0.91217,                0.87968,                0.92272,                0.49608,                 1.5538,                0.86882,                 1.0888,               0.001406,               0.001406,               0.001406
                      6,                 1.4657,                0.82946,                 1.1848,                0.93087,                  0.919,                0.94197,                0.51271,                 1.5133,                 0.7831,                 1.0732,               0.001208,               0.001208,               0.001208
                      7,                 1.4305,                0.78227,                 1.1592,                0.91658,                0.91102,                0.93979,                0.53075,                 1.4539,                0.73361,                 1.0522,                0.00101,                0.00101,                0.00101
                      8,                 1.4051,                0.73118,                 1.1432,                 0.9379,                0.92265,                0.94991,                0.53602,                 1.4665,                0.71193,                 1.0445,               0.000812,               0.000812,               0.000812
                      9,                 1.3695,                0.68874,                 1.1225,                0.94331,                0.93378,                0.96142,                0.56092,                 1.4124,                0.67296,                 1.0187,               0.000614,               0.000614,               0.000614
                     10,                 1.3312,                0.65067,                 1.1061,                0.94899,                 0.9499,                0.96549,                0.56514,                 1.3849,                0.64991,                 1.0145,               0.000416,               0.000416,               0.000416
